week,stock,buy,sell,qty,pnl,pnl_pct
2026-01-19,deepakntr,1535.6,1590.8,9,440.53,3.59
2026-01-19,swiggy,333.8,334.55,44,-25.81,0.22
2026-01-19,fact,827.35,792.1,17,-654.31,-4.26
2026-01-19,awl,212.02,208.91,70,-276.63,-1.47
2026-02-02,syngene,467.75,472.6,31,92.05,1.04
2026-02-02,kpittech,998.5,981.4,14,-294.84,-1.71
2026-02-02,asianpaint,2402.0,2452.7,6,245.94,2.11
2026-02-02,sbicard,735.8,749.7,20,218.58,1.89
2026-02-02,ltts,3693.2,3812.3,3,312.27,3.22
2026-02-09,infy,1497.2,1471.9,9,-281.14,-1.69
2026-02-09,hext,601.85,572.1,24,-770.35,-4.94
2026-02-09,mphasis,2615.1,2588.2,5,-186.53,-1.03
2026-02-09,coforge,1549.3,1520.4,9,-315.35,-1.87
2026-02-09,aiil,499.5,500.95,29,-15.98,0.29
2026-02-16,infy,1365.6,1373.7,10,26.21,0.59
2026-02-16,kpittech,880.3,861.6,16,-354.94,-2.12
2026-02-16,tataelxsi,4821.0,4885.0,3,133.76,1.33
2026-02-16,naukri,1125.2,1119.3,12,-124.67,-0.52
2026-02-16,ofss,6699.0,6714.5,2,-22.65,0.23
2026-02-23,hext,503.75,467.2,28,-1077.77,-7.26
2026-02-23,coforge,1289.0,1212.9,11,-892.14,-5.9
2026-02-23,idfcfirstb,70.04,70.22,207,-20.81,0.26
2026-02-23,mphasis,2309.8,2257.6,6,-368.01,-2.26
2026-02-23,kpittech,812.7,788.7,17,-462.45,-2.95
2026-03-02,techm,1345.4,1351.2,10,4.07,0.43
2026-03-02,awl,180.29,179.7,77,-100.87,-0.33
2026-03-02,naukri,998.5,999.7,14,-39.15,0.12
2026-03-02,infy,1288.9,1307.4,10,133.07,1.44
2026-03-02,coforge,1162.7,1170.0,12,31.62,0.63
2026-03-09,acc,1450.5,1456.4,9,0.78,0.41
2026-03-09,tatacap,311.2,319.8,44,322.87,2.76
2026-03-09,idfcfirstb,66.76,66.16,209,-180.96,-0.9
2026-03-09,prestige,1304.6,1271.5,10,-382.52,-2.54
2026-03-09,dalbharat,1840.2,1855.9,7,58.16,0.85
2026-03-16,kpittech,631.95,688.25,22,1180.51,8.91
2026-03-16,hdfclife,626.0,643.35,22,325.85,2.77
2026-03-16,acc,1373.2,1405.2,10,264.43,2.33
2026-03-16,ambujacem,429.0,441.25,32,336.3,2.86
2026-03-16,dlf,530.35,563.1,26,794.64,6.18
2026-03-23,lodha,727.9,733.85,19,57.5,0.82
2026-03-23,bpcl,271.3,284.55,53,643.33,4.88
2026-03-23,ioc,138.11,140.52,104,192.69,1.74
2026-03-23,godrejind,786.85,807.3,18,310.71,2.6
2026-03-23,hindpetro,319.15,344.0,45,1058.57,7.79
2026-03-30,idbi,61.5,67.65,242,1425.79,10.0
2026-03-30,lodha,677.0,685.35,22,123.76,1.23
2026-03-30,icicipruli,509.55,513.35,29,50.87,0.75
2026-03-30,godrejind,749.0,831.85,19,1514.08,11.06
2026-03-30,ioc,135.4,135.72,110,-24.45,0.24
